NÂ°,OraP,StatoF,ValoreA,BN,SerieP,Risultato
1,9,F,761,B,1,S
2,10,F,803,B,1,S
3,14,M,798,B,1,V
4,19,M,771,N,1,V
5,19,M,728,B,2,S
6,23,S,828,B,1,V
7,23,S,746,N,2,V
8,11,F,724,N,1,S
9,11,F,761,B,1,V
10,17,F,797,N,1,V
11,17,F,745,B,1,V
12,23,M,840,B,1,S
13,0,M,727,N,2,V
14,0,M,688,B,3,V
15,23,S,722,B,1,V
16,23,S,873,N,1,S
17,23,M,834,B,2,S
18,21,S,787,N,1,P
19,23,S,746,B,1,V
20,23,S,807,N,2,V
21,0,S,716,N,3,V
22,0,S,835,B,4,V
23,23,S,805,B,1,S
24,0,S,842,B,1,V
25,23,S,781,N,1,V
26,14,M,741,N,1,V
27,10,F,830,B,1,V
28,14,F,837,B,1,V
29,16,M,755,N,1,S
30,22,M,778,B,1,V
31,22,M,825,N,2,V
32,23,S,842,N,3,S
33,0,S,800,N,1,S
34,0,S,834,B,2,P
35,21,M,894,B,1,S
36,21,M,882,N,2,S
37,0,S,748,N,1,S
38,0,S,847,B,2,S
39,23,S,807,N,1,V
40,23,S,787,B,2,V
41,0,S,735,B,3,S
42,21,M,881,N,1,V
43,23,M,770,N,1,V
44,0,M,795,B,2,V
45,0,S,795,N,3,P
46,21,M,831,N,1,S
47,23,S,767,N,1,S
48,0,S,768,B,1,V
49,0,S,762,B,2,V
50,0,S,759,N,1,S
51,12,R,847,N,1,S
52,23,S,839,B,1,S
53,23,S,733,B,2,S
54,0,S,833,N,1,V
55,0,S,770,N,2,V
56,0,S,723,N,1,S
57,0,S,778,N,2,S
58,0,S,751,B,3,V
59,0,S,744,N,4,S
60,0,S,875,B,1,S
61,0,S,752,B,2,V
62,0,S,816,N,3,S
63,0,S,755,B,4,V
64,23,S,799,N,1,V
65,0,S,779,B,2,P
66,0,S,831,B,3,V
67,0,S,842,N,4,V
68,0,S,798,N,5,S
69,21,M,710,B,1,V
70,21,M,713,B,2,V
71,23,M,798,B,1,V
72,23,M,844,B,2,S
73,20,M,818,N,1,S
74,20,M,769,N,2,V
75,20,M,862,B,3,S
76,0,S,836,B,1,V
77,0,S,862,N,2,S
